User,Comment,VideoID,Likes,Replies
@garywei1945,"The problems are that Kamala are never ready and capable of being presidential candidate and the Democrats don’t generate presidential candidate via open and transparent procedures and also never listen to voters needs and sounds. How come adopt national celebrities, racism, sexism and fake free speech issues and never focus on citizens needs. Obama needs to take overall accountability because he continues to manipulate democratic governments for the long term",Ssqy6u1vREw,0.0,0.0
@Trollkungen1,Im enjoying this so much... lmao,Ssqy6u1vREw,0.0,0.0
@SirSquash,<b>LET THE DEPORTATION BEGIN!</b>,Ssqy6u1vREw,1.0,0.0
@oj-2258,Trump is a dictator....STFU!! TRUMP2024!!! LETS GOOOOO,Ssqy6u1vREw,1.0,0.0
@hayfron,"He has no reason to unite anything, no more moral relativism..",Ssqy6u1vREw,0.0,0.0
@McDob,Thank you David Muir for helping Trump win the election 🙏,Ssqy6u1vREw,0.0,0.0
@azmgbbb,More than half voted for President Trump.,Ssqy6u1vREw,0.0,0.0
@lalutte65,Will Joe step down and allow Harris to become the first female president for the next 2 months,Ssqy6u1vREw,0.0,0.0
@reefratsclark5404,Hollywood should get out of the politics biz...<br>LMAO,Ssqy6u1vREw,6.0,1.0
@J-B-Good,"Voter fraud, buying votes, and stealing/hacking votes. Vladimir Putin &amp; Elon Musk won",Ssqy6u1vREw,1.0,0.0
@lindseyeckert5914,No David she sucked and so did the Dems and America noticed Thank God! Welcome Home MR. 45TH AND 47TH PRESIDENT TRUMP,Ssqy6u1vREw,0.0,0.0
@joshuawood1436,"Took them hours to admit what was already known, you lost activist puppets, We The People have spoken clearly.<br><br>BYE",Ssqy6u1vREw,5.0,0.0
@104thebigguy6,"Hopefully, the United States can stop spending over a BILLION American tax dollars a DAY to support the illegal border crosssers who entered illegally and broke our laws.",Ssqy6u1vREw,0.0,0.0
@franklee1550,"The lying dimwits of The View will be leaving the country…yes? Not just a win, but a decisive win and a complete rejection of the democrats and the left. Now close the border and begin the deportation of illegals.",Ssqy6u1vREw,0.0,0.0
@Qingeaton,"Now, pay attention to how Trump doesn&#39;t do all the things the lying leftist media said he would.<br> He won&#39;t pass nationwide abortion ban. He won&#39;t be a dictator. I do hope he goes after the lawfare of the FBI-DOJ.",Ssqy6u1vREw,0.0,0.0
@Infinityplus1111,Our Nation dodged a bullet.,Ssqy6u1vREw,1.0,0.0
@fantamcmillan2234,Kamala Harris I&#39;m very sorry but no matter what you&#39;re always be our future president and I still love you and God bless you,Ssqy6u1vREw,0.0,0.0
@eugenesant9015,"We don&#39;t need to unite with democrats, we just need to <br>Keep them out of power.",Ssqy6u1vREw,0.0,0.0
@MuppetJoe,"Including the popular vote, which serves as a complete repudiation / rejection of the LIES peddled by “news” outlets of which ABC is one!",Ssqy6u1vREw,0.0,0.0
@Holdingmytongue,Guess your lies didn&#39;t work..what now....bye bye,Ssqy6u1vREw,1.0,0.0
@schlomosMonster,I’m sure going to miss the mheksikan lady with herkid strapped to her back with a bed sheet selling candy during rush hour.,Ssqy6u1vREw,0.0,0.0
@DomLuka-fs8dh,"Very special thank you to Barack Obama!! Your degrading comments towards black men pushed many of them to vote for Trump, and now we have a second Trump presidency!! Thank you Obama! 😂🙌",Ssqy6u1vREw,11.0,0.0
@hellohi_____________4089,Hahaha ABC news 😂😂😂,Ssqy6u1vREw,0.0,0.0
@Viki-un6rn,Americans voted for a bully 🤮👎🤮👎🤮 Disgusting 🤮🤮🤮,Ssqy6u1vREw,1.0,2.0
@jannivannibell,this must sting pretty bad for you guys 😂 can’t wait to see all the blue haired freaks crying,Ssqy6u1vREw,0.0,0.0
@MR-xc3sw,WOW !  THANK GOD !,Ssqy6u1vREw,18.0,0.0
@samfisher7953,Kamala can find a job in Hollywood. She&#39;s a good actress.,Ssqy6u1vREw,10.0,0.0
@neildegrassetyson1661,Just here for the tears. Especially that of the liberal media,Ssqy6u1vREw,2.0,0.0
@RussianBotBlyatBlyot,Finally! The future seems hopeful. We gave the woke cult an eviction notice.  Get out!,Ssqy6u1vREw,1.0,0.0
